c_n_sourceID,c_type,c_n_countries_norm,b_n_jurisdiction_description_norm,count
Paradise Papers - Appleby,individual,Macao,Cayman Islands,1
Paradise Papers - Appleby,individual,Luxembourg,Jersey,1
Paradise Papers - Appleby,individual,Luxembourg,British Virgin Islands,1
Paradise Papers - Appleby,individual,Liechtenstein,Isle of Man,1
Paradise Papers - Appleby,individual,Kenya,Isle of Man,1
Paradise Papers - Appleby,individual,Kenya,Bermuda,1
Paradise Papers - Appleby,individual,Madagascar,Bermuda,1
Paradise Papers - Appleby,individual,Jordan,British Virgin Islands,1
Paradise Papers - Appleby,individual,Netherlands,Saint Kitts and Nevis,1
Paradise Papers - Appleby,individual,New Zealand,British Virgin Islands,1
Paradise Papers - Appleby,individual,Russia,Bermuda,1
Paradise Papers - Appleby,individual,Russia,Bahamas,1
Paradise Papers - Appleby,individual,Romania,Isle of Man,1
Paradise Papers - Appleby,individual,Romania,Cayman Islands,1
Paradise Papers - Appleby,individual,Romania,Bermuda,1
Paradise Papers - Appleby,individual,Portugal,Isle of Man,1
Paradise Papers - Appleby,individual,Netherlands,Seychelles,1
Paradise Papers - Appleby,individual,Portugal,Cayman Islands,1
Paradise Papers - Appleby,individual,Pakistan,Isle of Man,1
Paradise Papers - Appleby,individual,Oman,Cayman Islands,1
Paradise Papers - Appleby,individual,Norway,British Virgin Islands,1
Paradise Papers - Appleby,individual,Nigeria,British Virgin Islands,1
Paradise Papers - Appleby,individual,Nicaragua,Isle of Man,1
Paradise Papers - Appleby,individual,Nicaragua,British Virgin Islands,1
Paradise Papers - Appleby,individual,Philippines,Isle of Man,1
Paradise Papers - Appleby,individual,Russia,Jersey,1
Paradise Papers - Appleby,individual,Japan,Isle of Man,1
Paradise Papers - Appleby,individual,Ireland,Mauritius,1
Paradise Papers - Appleby,individual,Dominica,Bermuda,1
Paradise Papers - Appleby,individual,Denmark,Isle of Man,1
Paradise Papers - Appleby,individual,Czech Republic,British Virgin Islands,1
Paradise Papers - Appleby,individual,Czech Republic,Bermuda,1
Paradise Papers - Appleby,individual,Curaçao,British Virgin Islands,1
Paradise Papers - Appleby,individual,Curaçao,Bermuda,1
Paradise Papers - Appleby,individual,Ecuador,British Virgin Islands,1
Paradise Papers - Appleby,individual,Cuba,British Virgin Islands,1
Paradise Papers - Appleby,individual,Congo,Bermuda,1
Paradise Papers - Appleby,individual,Chile,Jersey,1
Paradise Papers - Appleby,individual,Canada,State of Delaware,1
Paradise Papers - Appleby,individual,Cambodia,British Virgin Islands,1
Paradise Papers - Appleby,individual,Cambodia,Bermuda,1
Paradise Papers - Appleby,individual,Bulgaria,Jersey,1
Paradise Papers - Appleby,individual,Congo,Cayman Islands,1
Paradise Papers - Appleby,individual,Italy,Seychelles,1
Paradise Papers - Appleby,individual,Ecuador,Cayman Islands,1
Paradise Papers - Appleby,individual,Finland,Bermuda,1
Paradise Papers - Appleby,individual,Iraq,Isle of Man,1
Paradise Papers - Appleby,individual,Iraq,British Virgin Islands,1
Paradise Papers - Appleby,individual,Indonesia,Jersey,1
Paradise Papers - Appleby,individual,India,Seychelles,1
Paradise Papers - Appleby,individual,Hong Kong,Bahamas,1
Paradise Papers - Appleby,individual,Guatemala,Isle of Man,1
Paradise Papers - Appleby,individual,Fiji,Cayman Islands,1
Paradise Papers - Appleby,individual,Guatemala,British Virgin Islands,1
Paradise Papers - Appleby,individual,Grenada,Isle of Man,1
Paradise Papers - Appleby,individual,Gibraltar,Jersey,1
Paradise Papers - Appleby,individual,Ghana,Mauritius,1
Paradise Papers - Appleby,individual,Germany,Netherlands,1
Paradise Papers - Appleby,individual,Georgia,Cayman Islands,1
Paradise Papers - Appleby,individual,Finland,Seychelles,1
Paradise Papers - Appleby,individual,Guatemala,Bermuda,1
Paradise Papers - Appleby,individual,Bulgaria,Cayman Islands,1
Paradise Papers - Appleby,individual,Russia,Mauritius,1
Paradise Papers - Appleby,individual,Saint Vincent and the Grenadines,British Virgin Islands,1
Paradise Papers - Appleby,organization,Mongolia,British Virgin Islands,1
Paradise Papers - Appleby,organization,Monaco,Bermuda,1
Paradise Papers - Appleby,organization,Mexico,Cayman Islands,1
Paradise Papers - Appleby,organization,Malaysia,Cayman Islands,1
Paradise Papers - Appleby,organization,Luxembourg,Bermuda,1
Paradise Papers - Appleby,organization,Liechtenstein,Isle of Man,1
Paradise Papers - Appleby,organization,New Zealand,Bermuda,1
Paradise Papers - Appleby,organization,Liechtenstein,Cayman Islands,1
Paradise Papers - Appleby,organization,Israel,British Virgin Islands,1
Paradise Papers - Appleby,organization,Ireland,British Virgin Islands,1
Paradise Papers - Appleby,organization,India,Isle of Man,1
Paradise Papers - Appleby,organization,Hungary,Bermuda,1
Paradise Papers - Appleby,organization,Greece,Cayman Islands,1
Paradise Papers - Appleby,organization,Gibraltar,Bermuda,1
Paradise Papers - Appleby,organization,Lebanon,British Virgin Islands,1
Paradise Papers - Appleby,organization,Germany,Cayman Islands,1
Paradise Papers - Appleby,organization,New Zealand,Isle of Man,1
Paradise Papers - Appleby,organization,Saudi Arabia,Bermuda,1
Paradise Papers - Appleby,organization,United Kingdom,Seychelles,1
Paradise Papers - Appleby,organization,United Kingdom,Mauritius,1
Paradise Papers - Appleby,organization,United Arab Emirates,Mauritius,1
Paradise Papers - Appleby,organization,United Arab Emirates,Cayman Islands,1
Paradise Papers - Appleby,organization,United Arab Emirates,Bermuda,1
